Lambda_0,Lambda_1,TI_dF,TI_Error,MBAR_dF,MBAR_Error
,,,,9.721273386657863,1.0472382868109444
,,,,9.578668114373716,1.0546845354378496
,,,,9.40439596992313,1.0606713713167384
,,,,9.197046900107594,1.065472917474625
,,,,8.95629185124476,1.0694340997364298
,,,,8.682526043487993,1.072946799418456
,,,,8.376167690689908,1.0764323681142927
,,,,8.037157711375517,1.080318157966856
,,,,7.665171271219356,1.084972166664851
,,,,7.260610287582977,1.0905771444084043
,,,,6.82586910459587,1.0970047458428687
,,,,6.366066993329062,1.1038168783189033
,,,,5.8886775550399175,1.1104435041872514
,,,,5.402362261671756,1.1164147723088458
,,,,4.915641560130286,1.1214889148815859
,,,,4.435987654073592,1.1256393364528923
,,,,3.9694729097749395,1.1289705771921605
,,,,3.5208022451981487,1.1316357177305765
,,,,3.0935163483130426,1.1337849194989196
,,,,2.690266679904683,1.1355431240400073
,,,,2.313015179446598,1.1370058662816667
,,,,1.9632018098256498,1.1382429868360993
,,,,1.6418630515488406,1.1393046594510798
,,,,1.349709798266698,1.140227011735505
,,,,1.087177815996312,1.1410365034518317
,,,,0.8544804680351845,1.141752984915955
,,,,0.6516316261441659,1.1423917884324137
,,,,0.4784794435228559,1.1429650379784468
,,,,0.3347335921969279,1.1434825125813677
,,,,0.21998605485359413,1.1439522096129728
,,,,0.13373120720716258,1.1443807291424901
,,,,0.07538712187436403,1.1447735368175116
,,,,0.04430921727490311,1.1451351861750036
,,,,0.03980524627854809,1.1454694731417518
,,,,-1.0024636297462939,0.09146803731433144
,,,,-0.745159542028814,0.06949067911200833
,,,,-0.4921501748460857,0.046871914916756706
,,,,-0.24370388152466127,0.023675205615895215
,,,,0.0,0.0
,,,,0.2388675288633939,0.024022710402107055
,,,,0.47293490442654296,0.04822917391950646
,,,,0.7023549585903655,0.07243100033368746
,,,,0.9274038705951417,0.09642462902001034
,,,,1.1484820418517914,0.1200049882430036
,,,,1.3660868074065569,0.14297362184191995
,,,,1.5808072344808726,0.16515613831103637
,,,,1.7932873385147534,0.1864053420264164
,,,,2.0041956690314167,0.20661169713712826
,,,,2.21421118885704,0.2257009869700678
,,,,2.423976413881928,0.2436363960932392
,,,,2.6340926306852523,0.2604118879711749
,,,,2.8450852267759075,0.27605213949669455
,,,,3.0573933358657763,0.29060192877332114
,,,,3.271350213115756,0.3041269294419566
,,,,3.487170487429932,0.3167055796394133
,,,,3.7049376086066115,0.32842868998054314
,,,,3.9245965772373417,0.33939755689952594
,,,,4.145931037366163,0.34972607154949376
,,,,4.368569807539733,0.3595428882815527
,,,,4.591971302696609,0.36899888997503427
,,,,4.815435303169827,0.37827419353623365
,,,,5.038113469484852,0.38758944692240466
,,,,5.2590442669945645,0.39720832891553265
,,,,5.477198518649656,0.4074387805475481
,,,,5.691547844293451,0.418612193399165
,,,,5.901140718421279,0.43104645942091097
,,,,6.105192748398325,0.4449900283014333
,,,,6.303150186044299,0.4605628878977001
,,,,6.494743732847155,0.47771154368141483
,,,,6.680006257180361,0.49620109976629234
,,,,6.859241535411002,0.5156491055544197
,,,,7.032970614641269,0.5355909142758589
,,,,7.20185315065562,0.5555559989078336
,,,,7.366593162758645,0.57513546319418
,,,,7.527864664928104,0.5940249401950553
,,,,7.686235737736717,0.6120444472990773
,,,,7.842125594510255,0.629135645595175
,,,,7.995769016777108,0.6453476651826572
,,,,8.147207344837568,0.6608148909034091
,,,,8.296287029867159,0.6757344456429129
,,,,8.442665272758152,0.6903432134140676
,,,,8.585829743224473,0.7048943431648215
,,,,8.725118851053537,0.7196383173610209
,,,,8.85975339945491,0.7348023441169158
,,,,8.988878983971034,0.7505741346714245
,,,,9.111603012354802,0.7670888895999763
,,,,9.227044262696435,0.7844210128328208
,,,,9.334364370109352,0.8025806511369379
,,,,9.43278677708593,0.8215132009069956
,,,,9.52158721374808,0.8411009991087421
,,,,9.600055769716324,0.8611690214790015
,,,,9.667437922321753,0.8814914125276236
,,,,9.72287879379908,0.9018020843261806
,,,,9.765384587147395,0.9218093961807365
,,,,9.79381785660826,0.9412121221719778
,,,,9.806927979882527,0.9597168496417131
,,,,9.803377461234376,0.9770542232525703
,,,,9.781744636707412,0.9929943254880614
,,,,9.74044305517738,1.0073569135421316
,,,,9.677579450302566,1.0200194496231667
,,,,9.59084997260409,1.0309220346849797
,,,,9.4775695051332,1.0400752365201573
,,,,9.334964232849053,1.047572399766934
,,,,9.160692088398466,1.0535996484902705
,,,,8.953343018582931,1.0584332754364536
,,,,8.712587969720097,1.0624207049363694
,,,,8.43882216196333,1.0659565165070635
,,,,8.132463809165245,1.0694648680206091
,,,,7.793453829850855,1.0733758816434453
,,,,7.421467389694695,1.0780598607259362
,,,,7.0169064060583155,1.0837005899982994
,,,,6.582165223071208,1.0901687361308483
,,,,6.1223631118044,1.097023318657541
,,,,5.644973673515256,1.1036907342166007
,,,,5.158658380147095,1.109698339471558
,,,,4.671937678605625,1.1148030530076498
,,,,4.19228377254893,1.118978273498464
,,,,3.7257690282502782,1.1223292854402487
,,,,3.2770983636734874,1.1250101592585853
,,,,2.8498124667883813,1.1271719941849903
,,,,2.4465627983800218,1.1289404976998145
,,,,2.069311297921937,1.130411783710433
,,,,1.7194979283009886,1.1316561129045746
,,,,1.3981591700241793,1.1327239592415497
,,,,1.1060059167420366,1.1336516656735103
,,,,0.8434739344716506,1.1344658492007256
,,,,0.6107765865105232,1.1351864777901914
,,,,0.40792774461950465,1.1358289743931795
,,,,0.2347755619981946,1.1364055344965356
,,,,0.09102971067226662,1.1369259946771832
,,,,-0.023717826671067144,1.1373983992742918
,,,,-0.10997267431749869,1.1378293870462408
,,,,-0.16831675965029724,1.138224455628592
,,,,-0.19939466424975816,1.1385881851702981
,,,,-0.20389863524611318,1.1389243937562212
,,,,-1.2413311586096878,0.11503220157740404
,,,,-0.9840270708922079,0.0932363909373866
,,,,-0.7310177037094796,0.07075585314725773
,,,,-0.4825714103880552,0.04765181237991993
,,,,-0.2388675288633939,0.024022710402102434
,,,,0.0,0.0
,,,,0.23406737556314905,0.02425089615463104
,,,,0.46348742972697154,0.048538719482005284
,,,,0.6885363417317478,0.07265611299313579
,,,,0.9096145129883975,0.09639353119918252
,,,,1.127219278543163,0.11954768745440994
,,,,1.3419397056174787,0.14193928390263608
,,,,1.5544198096513595,0.1634162781266269
,,,,1.7653281401680228,0.1838646117390499
,,,,1.975343659993646,0.20320600260664728
,,,,2.185108885018534,0.22140005860367679
,,,,2.3952251018218584,0.23843775049066462
,,,,2.6062176979125136,0.2543414056495054
,,,,2.8185258070023824,0.2691540009434226
,,,,3.0324826842523622,0.2829401107712356
,,,,3.248302958566538,0.2957776384672459
,,,,3.4660700797432176,0.3077575724207488
,,,,3.6857290483739478,0.3189820421520476
,,,,3.9070635085027687,0.32956669546046896
,,,,4.129702278676339,0.3396428940361615
,,,,4.353103773833215,0.34936548337959145
,,,,4.576567774306433,0.3589199988683024
